R3;1;1—1
;;1—5*

;2;11—1
;;11—6*

R9;2;1—1
;;1—2

;1;27—3
;;27—4

F1;2;1—2
;;1—3

;1;13—1
;;13—2

R6;2;1—3
;;1—4

;1;3—4
;;3—5*

KV1;3;1—4
;;1—5*

;1;3—2
;;3—3

;2;25—3
;;25—4

MOSFET_1;Ã;3—1
;;3—5*

;4;13—2
;;13—3*

;2;17—1
;;17—2

;À;21—6
;;21—7

;3;23—2
;;23—3

;Â;25—4
;;25—5*

;1;27—1
;;27—6*

;5;29—3
;;29—4

;Á;29—5
;;29—6

MOSFET_3;Â;3—1
;;3—2

;5;5—5
;;5—6

;3;5—7
;;5—8

;Ã;9—1
;;9—3*

;4;11—3
;;11—4

;Á;21—1
;;21—10*

;1;21—9
;;21—10*

;À;27—1
;;27—2

;2;31—3
;;31—4

C9;2;3—3
;;3—4

;1;5—2
;;5—3

MOSFET_2;5;5—1
;;5—9*

;Â;5—6
;;5—7

;2;7—1
;;7—2

;Ã;7—2
;;7—3

;À;11—5
;;11—6*

;3;13—1
;;13—3*

;Á;15—4
;;15—5

;4;27—2
;;27—3

;1;29—1
;;29—7*

F8;1;5—1
;;5—2

;2;23—3
;;23—4

R1;2;5—3
;;5—4

;1;17—1
;;17—3*

F9;2;5—4
;;5—5

;1;7—1
;;7—6*

F4;2;5—8
;;5—9*

;1;23—4
;;23—5

C5;2;7—3
;;7—4

;1;25—1
;;25—5*

F3;1;7—4
;;7—5

;2;29—2
;;29—3

F6;1;7—5
;;7—6*

;2;27—5
;;27—6*

C1;1;9—1
;;9—2

;2;11—2
;;11—3

R7;1;9—2
;;9—3*

;2;21—2
;;21—3

C8;2;11—1
;;11—2

;1;15—1
;;15—6*

C10;2;11—4
;;11—5

;1;15—5
;;15—6*

F10;2;15—1
;;15—2

;1;21—1
;;21—2

F2;1;15—2
;;15—3

;2;21—3
;;21—4

C7;1;15—3
;;15—4

;2;25—2
;;25—3

R8;2;17—2
;;17—3*

;1;23—1
;;23—2

C4;2;19—1
;;19—4*

;1;25—1
;;25—2

R4;1;19—1
;;19—2

;2;31—1
;;31—2

F5;2;19—2
;;19—3

;1;31—2
;;31—3

F7;1;19—3
;;19—4*

;2;27—4
;;27—5

C6;2;21—4
;;21—5

;1;29—1
;;29—2

C2;2;21—5
;;21—6

;1;23—5
;;23—6

R5;1;21—7
;;21—8

;2;23—6
;;23—7*

R10;1;21—8
;;21—9

;2;29—4
;;29—5

R2;1;23—1
;;23—7*

;2;31—1
;;31—5*

C3;1;29—6
;;29—7*

;2;31—4
;;31—5*

GUI;56;33
;56;33

;46;33

